条件,指标,组别A,组别B,nA,nB,均值A,均值B,MW_U,原始p,Cliffs_delta,标注
后测 / 普通,NoGo误按率,非运动员高心率,非运动员低心率,23,22,0.09565217391304351,0.09090909090909093,259.0,0.8841584618851216,0.023715415019762844,不显著
后测 / 普通,SART d′,运动员,非运动员高心率,23,23,2.9887792366601973,2.9179788135130704,285.5,0.5915726004145524,0.07939508506616257,不显著
后测 / 普通,SART d′,运动员,非运动员低心率,23,22,2.9887792366601973,2.9386184720601904,267.0,0.7118630704153308,0.05533596837944664,不显著
后测 / 普通,SART d′,非运动员高心率,非运动员低心率,23,22,2.9179788135130704,2.9386184720601904,247.0,0.8841584618851216,-0.023715415019762844,不显著
后测 / 普通,Go漏按率,运动员,非运动员高心率,23,23,0.0,0.0,264.5,,0.0,无法估计
后测 / 普通,Go漏按率,运动员,非运动员低心率,23,22,0.0,0.0,253.0,,0.0,无法估计
后测 / 普通,Go漏按率,非运动员高心率,非运动员低心率,23,22,0.0,0.0,253.0,,0.0,无法估计
后测 / 普通,正确Go RT CoV,运动员,非运动员高心率,23,23,0.11901690671755373,0.16974592340110153,149.0,0.011521989794366623,-0.43667296786389415,显著
后测 / 普通,正确Go RT CoV,运动员,非运动员低心率,23,22,0.11901690671755373,0.15309912443082563,169.0,0.057968940167260785,-0.33201581027667987,趋势
后测 / 普通,正确Go RT CoV,非运动员高心率,非运动员低心率,23,22,0.16974592340110153,0.15309912443082563,274.0,0.6415959790722463,0.08300395256916997,不显著
后测 / 普通,正确Go RT(ms),运动员,非运动员高心率,23,23,418.6358695652174,445.91847826086956,206.0,0.20256028313949948,-0.22117202268431002,不显著
后测 / 普通,正确Go RT(ms),运动员,非运动员低心率,23,22,418.6358695652174,461.2443181818182,171.5,0.06588153155297818,-0.3221343873517787,趋势
后测 / 普通,正确Go RT(ms),非运动员高心率,非运动员低心率,23,22,445.91847826086956,461.2443181818182,225.0,0.5323590269381255,-0.11067193675889328,不显著
后测 / 黄色捕获,NoGo误按率,运动员,非运动员高心率,23,23,0.043478260869565216,0.21739130434782608,218.5,0.08667130698023746,-0.17391304347826086,趋势
后测 / 黄色捕获,NoGo误按率,运动员,非运动员低心率,23,22,0.043478260869565216,0.18181818181818182,218.0,0.1502215212694639,-0.1383399209486166,不显著
后测 / 黄色捕获,NoGo误按率,非运动员高心率,非运动员低心率,23,22,0.21739130434782608,0.18181818181818182,262.0,0.7806274346634384,0.03557312252964427,不显著
后测 / 黄色捕获,SART d′,运动员,非运动员高心率,23,23,2.819698843554805,2.5802368761084953,310.5,0.08667130698023746,0.17391304347826086,趋势
后测 / 黄色捕获,SART d′,运动员,非运动员低心率,23,22,2.819698843554805,2.6292177330861493,288.0,0.1502215212694639,0.1383399209486166,不显著
后测 / 黄色捕获,SART d′,非运动员高心率,非运动员低心率,23,22,2.5802368761084953,2.6292177330861493,244.0,0.7806274346634384,-0.03557312252964427,不显著
后测 / 黄色捕获,Go漏按率,运动员,非运动员高心率,23,23,0.0,0.0,264.5,,0.0,无法估计
后测 / 黄色捕获,Go漏按率,运动员,非运动员低心率,23,22,0.0,0.0,253.0,,0.0,无法估计
后测 / 黄色捕获,Go漏按率,非运动员高心率,非运动员低心率,23,22,0.0,0.0,253.0,,0.0,无法估计
后测 / 黄色捕获,正确Go RT CoV,运动员,非运动员高心率,23,23,0.18060696559355052,0.1779243134209035,239.0,0.5828479525709245,-0.09640831758034027,不显著
后测 / 黄色捕获,正确Go RT CoV,运动员,非运动员低心率,23,22,0.18060696559355052,0.2011271708552087,184.0,0.11986368432167702,-0.2727272727272727,不显著
后测 / 黄色捕获,正确Go RT CoV,非运动员高心率,非运动员低心率,23,22,0.1779243134209035,0.2011271708552087,163.0,0.042136710098531115,-0.3557312252964427,显著
后测 / 黄色捕获,正确Go RT(ms),运动员,非运动员高心率,23,23,435.3125,454.6467391304348,219.5,0.3282431636813483,-0.17013232514177692,不显著
后测 / 黄色捕获,正确Go RT(ms),运动员,非运动员低心率,23,22,435.3125,463.8380681818182,182.5,0.11195724577977384,-0.27865612648221344,不显著
后测 / 黄色捕获,正确Go RT(ms),非运动员高心率,非运动员低心率,23,22,454.6467391304348,463.8380681818182,223.0,0.5029721945405317,-0.11857707509881422,不显著
