metric,term,estimate,se_cluster,z_or_t,raw_p,ci_low,ci_high,n_rows,n_subjects,r2
G_lite,group[nonathlete_low_hr]:stage[exercise2]:load[5],-0.9610027144365798,0.36476330585210254,-2.6345926221707985,0.010519082582978808,-1.6894853401442005,-0.23252008872895913,990,66,0.10164962526641708
pi_MOT_lite,Intercept,-0.48804948525076297,0.288345967567244,-1.6925830084200741,0.09532336109214914,-1.0639161478112773,0.08781717730975125,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_high_hr],0.552941327042113,0.3358660711665539,1.6463149288095633,0.1045260641352992,-0.11782953582729838,1.2237121899115242,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_low_hr],0.3039881369725085,0.4267277301971236,0.7123702432745195,0.4787848943800521,-0.5482459895662422,1.1562222635112591,990,66,0.0433874462849585
pi_MOT_lite,stage[exercise1],0.6940070821086471,0.2993264230948862,2.3185627080060605,0.023574515461246115,0.09621093556246618,1.2918032286548282,990,66,0.0433874462849585
pi_MOT_lite,stage[exercise2],0.3771378385364023,0.40856961915536394,0.923068727714164,0.3593852713771758,-0.43883203609605864,1.1931077131688632,990,66,0.0433874462849585
pi_MOT_lite,load[2],0.6263693566928371,0.35877694959253037,1.745846151499466,0.08556266516887913,-0.09015768999565232,1.3428964033813267,990,66,0.0433874462849585
pi_MOT_lite,load[3],0.6300924403674923,0.39505500660489473,1.5949486269836468,0.1155749469648459,-0.15888688922319627,1.419071769958181,990,66,0.0433874462849585
pi_MOT_lite,load[4],0.6411190836607137,0.3804523331294966,1.6851495649587527,0.09675547621845974,-0.11869669316838694,1.4009348604898144,990,66,0.0433874462849585
pi_MOT_lite,load[5],0.39994205103530267,0.4193051412652957,0.9538210045038729,0.34370801352980684,-0.4374681417692836,1.237352243839889,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_high_hr]:stage[exercise1],-0.9898931025229396,0.4298449284965836,-2.302907483368871,0.024493930695045452,-1.848352703953517,-0.1314335010923623,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_high_hr]:stage[exercise2],-0.347933666980129,0.4542649819707686,-0.7659266744943992,0.4464924669221558,-1.255163482928961,0.5592961489687029,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_low_hr]:stage[exercise1],0.06170860890051496,0.5647734279760768,0.10926259247297462,0.9133308367667942,-1.0662218137630088,1.1896390315640388,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_low_hr]:stage[exercise2],-0.13025040846614244,0.5728140422983128,-0.22738689844881635,0.820836605561165,-1.2742390467993634,1.0137382298670785,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_high_hr]:load[2],-1.0318758348614465,0.4375059611610985,-2.358541200496898,0.021364217876218682,-1.905635575043756,-0.15811609467913712,990,66,0.0433874462849585
pi_MOT_lite,group[nonathlete_high_hr]:load[3],-0.8736792385859781,0.44676126713281217,-1.9555841180973568,0.05481530380501581,-1.7659231011781638,0.01856462400620762,990,66,0.0433874462849585
