group,stage,target_count,n,mot_dprime_mean,drt_hit_rate_mean,drt_logrt_mean,G_lite_mean,pi_MOT_lite_mean
nonathlete_high_hr,rest,4,23,1.5314647949800437,0.9293478260869565,6.451026019125142,-0.1319273310107997,-0.16731996891837522
nonathlete_high_hr,rest,5,23,0.6036012681220854,0.9347826086956522,6.498973410144587,-0.26001510268260025,-0.46577983941585865
nonathlete_low_hr,exercise1,1,22,3.4370501360944314,0.9147727272727273,6.452012964470348,-0.22232710786535942,0.571654342730906
nonathlete_low_hr,exercise1,2,22,3.143399538874944,0.9431818181818182,6.479210588297128,-0.07862238602102302,0.35495449644092664
nonathlete_low_hr,exercise1,3,22,2.003694031116698,0.9602272727272727,6.476407206504592,-0.2341197816683992,-0.34394934638623476
nonathlete_low_hr,exercise1,4,22,1.690829275442168,0.8920454545454546,6.499001306618226,-0.21219587748899071,0.34259314209805924
nonathlete_low_hr,exercise1,5,22,0.8187817770180977,0.9034090909090909,6.52325234392273,-0.22028069719334073,0.033102274585186615
nonathlete_low_hr,exercise2,1,22,3.4370501360944314,0.9431818181818182,6.3539104504571835,0.03208702260408995,0.06282608179200716
nonathlete_low_hr,exercise2,2,22,3.064505465539525,0.8693181818181818,6.411270299668586,-0.18841423841848498,0.36124432073843216
nonathlete_low_hr,exercise2,3,22,2.4239090952628994,0.8636363636363636,6.404974895979816,-0.10970460047120513,0.32676986761287496
nonathlete_low_hr,exercise2,4,22,1.5170133671838832,0.8465909090909091,6.405437602616394,-0.22168904172667744,-0.0194785275869781
nonathlete_low_hr,exercise2,5,22,0.8296941183390458,0.8522727272727273,6.511645724561793,-0.29440073000280004,0.21067196085163814
nonathlete_low_hr,rest,1,22,3.3257927950234385,0.9204545454545454,6.35363060308621,-0.2254696433613458,-0.18406134827826437
nonathlete_low_hr,rest,2,22,2.841832035719641,0.9375,6.419615921320321,-0.19305550409346237,-0.23148135869352446
nonathlete_low_hr,rest,3,22,2.021723180325128,0.9318181818181818,6.441134707936269,-0.23064294078449776,-0.31145014335317617
nonathlete_low_hr,rest,4,22,1.376734136557659,0.8920454545454546,6.4495778494866665,-0.29005941938193547,-0.19027304532224035
nonathlete_low_hr,rest,5,22,0.605475615923001,0.9204545454545454,6.4861032107851,-0.26476776290018866,-0.45123674492784277
