metric,target_count,term,estimate,se_cluster,z_or_t,raw_p,ci_low,ci_high,n_rows,n_subjects,r2,group_stage_joint_raw_p
G_lite,4,group[nonathlete_high_hr]:stage[exercise2],-0.29684136291594865,0.20611556240536336,-1.4401695798794498,0.15461881069637615,-0.7084825661052375,0.11479984027334023,198,66,0.12987138822197108,0.49349596541605434
G_lite,4,group[nonathlete_low_hr]:stage[exercise1],-0.2521484810273512,0.18248320306113616,-1.3817626871820938,0.17177539561278848,-0.616592603505542,0.11229564145083953,198,66,0.12987138822197108,0.49349596541605434
G_lite,4,group[nonathlete_low_hr]:stage[exercise2],-0.38656147769777066,0.24038466534688355,-1.6080954129912939,0.1126612581444735,-0.8666428054581574,0.0935198500626161,198,66,0.12987138822197108,0.49349596541605434
G_lite,5,Intercept,-0.007261721150493109,0.08173151152583348,-0.0888484871370309,0.9294755105210681,-0.17049082112891312,0.15596737882792688,198,66,0.16906352089918364,0.09936961243596587
G_lite,5,group[nonathlete_high_hr],-0.252753381532106,0.16138025087123908,-1.5661977234982183,0.12215818318767137,-0.5750519982128692,0.06954523514865724,198,66,0.16906352089918364,0.09936961243596587
G_lite,5,group[nonathlete_low_hr],-0.2575060417496967,0.1562382572314828,-1.6481625327411036,0.10414521060252438,-0.569535388007792,0.05452330450839865,198,66,0.16906352089918364,0.09936961243596587
G_lite,5,stage[exercise1],0.41378916227900014,0.14082775857182023,2.9382642063991478,0.004563507532696249,0.13253670708134102,0.6950416174766593,198,66,0.16906352089918364,0.09936961243596587
G_lite,5,stage[exercise2],0.4852441621003471,0.15640778055449728,3.1024298176219762,0.002839522821914916,0.17287625438750293,0.7976120698131912,198,66,0.16906352089918364,0.09936961243596587
G_lite,5,group[nonathlete_high_hr]:stage[exercise1],-0.11612013979255995,0.18083197285435507,-0.6421438529904495,0.5230381650830458,-0.47726652782930623,0.2450262482441863,198,66,0.16906352089918364,0.09936961243596587
G_lite,5,group[nonathlete_high_hr]:stage[exercise2],-0.05827349381576233,0.18538924823573125,-0.3143304931128736,0.7542767426049682,-0.42852138927563654,0.31197440164411194,198,66,0.16906352089918364,0.09936961243596587
G_lite,5,group[nonathlete_low_hr]:stage[exercise1],-0.3693020965721521,0.1882440603469057,-1.9618260246383525,0.05406764301600205,-0.7452514455205894,0.006647252376285218,198,66,0.16906352089918364,0.09936961243596587
G_lite,5,group[nonathlete_low_hr]:stage[exercise2],-0.5148771292029586,0.22537234951875718,-2.284562104900569,0.025611676642065647,-0.9649767919302409,-0.06477746647567628,198,66,0.16906352089918364,0.09936961243596587
pi_MOT_lite,1,Intercept,-0.48804948525076736,0.2877622706780923,-1.696016243202112,0.0946678079723521,-1.0627504246269461,0.08665145412541148,198,66,0.05390300467148901,0.15477435709458254
pi_MOT_lite,1,group[nonathlete_high_hr],0.5529413270421267,0.3351861796370413,1.649654313435247,0.10383852791288414,-0.11647169868010032,1.222354352764354,198,66,0.05390300467148901,0.15477435709458254
pi_MOT_lite,1,group[nonathlete_low_hr],0.3039881369725032,0.42586390799511503,0.7138152148267756,0.47789682495006053,-0.5465208175005054,1.154497091445512,198,66,0.05390300467148901,0.15477435709458254
pi_MOT_lite,1,stage[exercise1],0.6940070821086612,0.29872049854017985,2.3232656797916826,0.023304364690460697,0.09742105046030991,1.2905931137570126,198,66,0.05390300467148901,0.15477435709458254
pi_MOT_lite,1,stage[exercise2],0.37713783853641575,0.4077425543008487,0.9249410799986023,0.35841781005989776,-0.43718027352239414,1.1914559505952256,198,66,0.05390300467148901,0.15477435709458254
pi_MOT_lite,1,group[nonathlete_high_hr]:stage[exercise1],-0.9898931025229691,0.428974796170115,-2.3075787001025003,0.024216322148397123,-1.8466149296990388,-0.13317127534689954,198,66,0.05390300467148901,0.15477435709458254
pi_MOT_lite,1,group[nonathlete_high_hr]:stage[exercise2],-0.34793366698014616,0.45334541628697234,-0.7674802798930266,0.44557501638713837,-1.2533269834426122,0.55745964948232,198,66,0.05390300467148901,0.15477435709458254
pi_MOT_lite,1,group[nonathlete_low_hr]:stage[exercise1],0.06170860890050914,0.563630160755158,0.10948422067731657,0.9131557483414434,-1.063938551456696,1.1873557692577144,198,66,0.05390300467148901,0.15477435709458254
pi_MOT_lite,1,group[nonathlete_low_hr]:stage[exercise2],-0.13025040846614386,0.5716544985134774,-0.2278481299540986,0.8204795220037459,-1.2719232779502296,1.011422461017942,198,66,0.05390300467148901,0.15477435709458254
pi_MOT_lite,2,Intercept,0.13831987144207092,0.25612593205201245,0.5400463371041312,0.5910106219218749,-0.3731989367812376,0.6498386796653794,198,66,0.03373542854324252,0.2934562054904127
pi_MOT_lite,2,group[nonathlete_high_hr],-0.47893450781933067,0.3588625098933705,-1.334590531514806,0.186666704693914,-1.1956324302280814,0.23776341458941996,198,66,0.03373542854324252,0.2934562054904127
pi_MOT_lite,2,group[nonathlete_low_hr],-0.3698012301355948,0.3529257958441817,-1.0478158142309997,0.29860412018127913,-1.074642715865427,0.3350402555942375,198,66,0.03373542854324252,0.2934562054904127
pi_MOT_lite,2,stage[exercise1],-0.27722431980660855,0.27670628085454896,-1.0018721618839288,0.3201205298046788,-0.8298449227913928,0.27539628317817566,198,66,0.03373542854324252,0.2934562054904127
pi_MOT_lite,2,stage[exercise2],-0.10212823675343144,0.25706287969140473,-0.3972889313152989,0.692456021061991,-0.6155182586255488,0.41126178511868594,198,66,0.03373542854324252,0.2934562054904127
pi_MOT_lite,2,group[nonathlete_high_hr]:stage[exercise1],0.5420110064081747,0.4379356758998742,1.2376498107728848,0.22029808384737137,-0.3326069333687385,1.4166289461850878,198,66,0.03373542854324252,0.2934562054904127
pi_MOT_lite,2,group[nonathlete_high_hr]:stage[exercise2],0.36303188103245015,0.3897850700570453,0.9313642540985989,0.3551116500849097,-0.4154226585037079,1.1414864205686082,198,66,0.03373542854324252,0.2934562054904127
pi_MOT_lite,2,group[nonathlete_low_hr]:stage[exercise1],0.863660174941059,0.40671429587093766,2.1235058214307854,0.037522820920943584,0.05139563677224801,1.67592471310987,198,66,0.03373542854324252,0.2934562054904127
pi_MOT_lite,2,group[nonathlete_low_hr]:stage[exercise2],0.6948539161853882,0.46293079255293695,1.5009887597959481,0.13820077680236068,-0.22968271858403688,1.6193905509548132,198,66,0.03373542854324252,0.2934562054904127
pi_MOT_lite,3,Intercept,0.14204295511673604,0.25468550725062705,0.5577190341535867,0.5789520674445461,-0.3665991261315378,0.6506850363650099,198,66,0.038547595677554725,0.6816335067746445
pi_MOT_lite,3,group[nonathlete_high_hr],-0.320737911543874,0.3330373693436451,-0.9630688357165111,0.33908224875142756,-0.9858594667712165,0.3443836436834685,198,66,0.038547595677554725,0.6816335067746445
pi_MOT_lite,3,group[nonathlete_low_hr],-0.4534930984699128,0.41791915081577763,-1.0851216020723025,0.2818760532858812,-1.2881352772070973,0.38114908026727157,198,66,0.038547595677554725,0.6816335067746445
pi_MOT_lite,3,stage[exercise1],-0.013367907048488809,0.27725141415471155,-0.048215829986819336,0.9616920793827641,-0.5670772164121546,0.540341402315177,198,66,0.038547595677554725,0.6816335067746445
